FIPS Code,State,Area name,2003 Rural-urban Continuum Code,2003 Urban Influence Code,2013 Rural-urban Continuum Code,2013 Urban Influence Code,"Less than a high school diploma, 1970","High school diploma only, 1970","Some college (1-3 years), 1970","Four years of college or higher, 1970","Percent of adults with less than a high school diploma, 1970","Percent of adults with a high school diploma only, 1970","Percent of adults completing some college (1-3 years), 1970","Percent of adults completing four years of college or higher, 1970","Less than a high school diploma, 1980","High school diploma only, 1980","Some college (1-3 years), 1980","Four years of college or higher, 1980","Percent of adults with less than a high school diploma, 1980","Percent of adults with a high school diploma only, 1980","Percent of adults completing some college (1-3 years), 1980","Percent of adults completing four years of college or higher, 1980","Less than a high school diploma, 1990","High school diploma only, 1990","Some college or associate's degree, 1990","Bachelor's degree or higher, 1990","Percent of adults with less than a high school diploma, 1990","Percent of adults with a high school diploma only, 1990","Percent of adults completing some college or associate's degree, 1990","Percent of adults with a bachelor's degree or higher, 1990","Less than a high school diploma, 2000","High school diploma only, 2000","Some college or associate's degree, 2000","Bachelor's degree or higher, 2000","Percent of adults with less than a high school diploma, 2000","Percent of adults with a high school diploma only, 2000","Percent of adults completing some college or associate's degree, 2000","Percent of adults with a bachelor's degree or higher, 2000","Less than a high school diploma, 2014-18","High school diploma only, 2014-18","Some college or associate's degree, 2014-18","Bachelor's degree or higher, 2014-18","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18",,,
0,US,United States,,,,,52373312.00,34158051.00,11650730.00,11717266.00,47.70,31.10,10.60,10.70,44535197.00,45947035.00,20794975.00,21558480.00,33.50,34.60,15.70,16.20,39343718.00,47642763.00,39571702.00,32310253.00,24.80,30.00,24.90,20.30,35715625.00,52168981.00,49864428.00,44462605.00,19.60,28.60,27.40,24.40,26948057.00,59265308.00,63365655.00,68867051.00,12.30,27.10,29.00,31.50,,,
1000,AL,Alabama,,,,,1062306.00,468269.00,136287.00,141936.00,58.70,25.90,7.50,7.80,964840.00,704207.00,278205.00,270063.00,43.50,31.80,12.50,12.20,843638.00,749591.00,553512.00,399228.00,33.10,29.40,21.70,15.70,714081.00,877216.00,746495.00,549608.00,24.70,30.40,25.90,19.00,470043.00,1020172.00,987148.00,822595.00,14.20,30.90,29.90,24.90,,,
1001,AL,Autauga County,2,2,2,2,6611.00,3757.00,933.00,767.00,54.80,31.10,7.70,6.40,7074.00,6145.00,2104.00,2117.00,40.60,35.20,12.10,12.10,6252.00,6671.00,4912.00,3026.00,30.00,32.00,23.50,14.50,5872.00,9332.00,7413.00,4972.00,21.30,33.80,26.90,18.00,4204.00,12119.00,10552.00,10291.00,11.30,32.60,28.40,27.70,,,
1003,AL,Baldwin County,4,5,3,2,18726.00,8426.00,2334.00,2038.00,59.40,26.70,7.40,6.50,18125.00,15380.00,6602.00,5498.00,39.70,33.70,14.50,12.10,17309.00,20544.00,15900.00,10870.00,26.80,31.80,24.60,16.80,17258.00,28428.00,28178.00,22146.00,18.00,29.60,29.30,23.10,14310.00,40579.00,46025.00,46075.00,9.70,27.60,31.30,31.30,,,
1005,AL,Barbour County,6,6,6,6,8120.00,2242.00,581.00,861.00,68.80,19.00,4.90,7.30,7759.00,3671.00,1362.00,1300.00,55.10,26.10,9.70,9.20,6965.00,4258.00,2622.00,1857.00,44.40,27.10,16.70,11.80,6679.00,6124.00,4025.00,2068.00,35.30,32.40,21.30,10.90,4901.00,6486.00,4566.00,2220.00,27.00,35.70,25.10,12.20,,,
1007,AL,Bibb County,1,1,1,1,5272.00,1402.00,238.00,302.00,73.10,19.40,3.30,4.20,5254.00,2611.00,536.00,433.00,59.50,29.60,6.10,4.90,4850.00,3407.00,1332.00,476.00,48.20,33.80,13.20,4.70,4984.00,4838.00,2756.00,962.00,36.80,35.70,20.40,7.10,2650.00,7471.00,3846.00,1813.00,16.80,47.30,24.40,11.50,,,
1009,AL,Blount County,1,1,1,1,10677.00,3440.00,626.00,404.00,70.50,22.70,4.10,2.70,11666.00,7011.00,1819.00,1144.00,53.90,32.40,8.40,5.30,9960.00,8763.00,4745.00,1773.00,39.50,34.70,18.80,7.00,9960.00,12136.00,8371.00,3235.00,29.60,36.00,24.80,9.60,7861.00,13489.00,13267.00,5010.00,19.80,34.00,33.50,12.60,,,
1011,AL,Bullock County,6,6,6,6,4245.00,958.00,305.00,314.00,72.90,16.50,5.20,5.40,3473.00,1324.00,574.00,516.00,59.00,22.50,9.80,8.80,3428.00,1669.00,954.00,676.00,51.00,24.80,14.20,10.00,2992.00,2667.00,1325.00,586.00,39.50,35.20,17.50,7.70,1760.00,2817.00,1582.00,945.00,24.80,39.70,22.30,13.30,,,
1013,AL,Butler County,6,6,6,6,8353.00,2459.00,499.00,541.00,70.50,20.70,4.20,4.60,6929.00,3635.00,1016.00,1029.00,55.00,28.80,8.10,8.20,6374.00,3927.00,2106.00,1083.00,47.20,29.10,15.60,8.00,4439.00,4749.00,3146.00,1433.00,32.20,34.50,22.90,10.40,2141.00,6091.00,3421.00,2235.00,15.40,43.90,24.60,16.10,,,
1015,AL,Calhoun County,3,2,3,2,30535.00,13804.00,3823.00,3921.00,58.60,26.50,7.30,7.50,28268.00,21411.00,8449.00,7213.00,43.30,32.80,12.90,11.00,23633.00,21711.00,16835.00,10266.00,32.60,30.00,23.20,14.20,19318.00,23856.00,19576.00,11265.00,26.10,32.20,26.40,15.20,12620.00,25653.00,26643.00,14219.00,15.90,32.40,33.70,18.00,,,
1017,AL,Chambers County,6,5,6,5,13616.00,4816.00,927.00,847.00,67.40,23.80,4.60,4.20,12616.00,6544.00,2238.00,1710.00,54.60,28.30,9.70,7.40,10833.00,6749.00,3998.00,2101.00,45.70,28.50,16.90,8.90,8778.00,7863.00,5517.00,2339.00,35.80,32.10,22.50,9.50,4383.00,9060.00,7003.00,3118.00,18.60,38.40,29.70,13.20,,,
1019,AL,Cherokee County,8,6,6,6,6126.00,1878.00,440.00,329.00,69.80,21.40,5.00,3.80,6372.00,3158.00,985.00,712.00,56.80,28.10,8.80,6.30,6030.00,4092.00,1966.00,866.00,46.50,31.60,15.20,6.70,6138.00,5865.00,3186.00,1636.00,36.50,34.90,18.90,9.70,3692.00,7157.00,5417.00,2407.00,19.80,38.30,29.00,12.90,,,
1021,AL,Chilton County,1,1,1,1,10285.00,2805.00,538.00,415.00,73.20,20.00,3.80,3.00,9678.00,5578.00,1518.00,1158.00,54.00,31.10,8.50,6.50,9023.00,6770.00,3438.00,1550.00,43.40,32.60,16.50,7.50,8757.00,9264.00,5307.00,2574.00,33.80,35.80,20.50,9.90,5302.00,13125.00,7147.00,4219.00,17.80,44.10,24.00,14.20,,,
1023,AL,Choctaw County,9,10,9,10,5720.00,1922.00,378.00,362.00,68.20,22.90,4.50,4.30,5095.00,2695.00,777.00,640.00,55.30,29.30,8.40,7.00,4482.00,3070.00,1418.00,836.00,45.70,31.30,14.50,8.50,3704.00,3670.00,2182.00,1013.00,35.00,34.70,20.60,9.60,1754.00,3606.00,2851.00,1225.00,18.60,38.20,30.20,13.00,,,
1025,AL,Clarke County,7,11,7,11,8459.00,3485.00,800.00,738.00,62.70,25.80,5.90,5.50,7627.00,4596.00,1510.00,1344.00,50.60,30.50,10.00,8.90,6471.00,5445.00,2614.00,1755.00,39.70,33.40,16.10,10.80,5165.00,6667.00,3733.00,2137.00,29.20,37.70,21.10,12.10,3175.00,7372.00,4205.00,2118.00,18.80,43.70,24.90,12.60,,,
1027,AL,Clay County,9,10,9,10,4784.00,1719.00,345.00,311.00,66.80,24.00,4.80,4.30,4301.00,2583.00,690.00,479.00,53.40,32.10,8.60,5.90,3999.00,2692.00,1340.00,628.00,46.20,31.10,15.50,7.30,3322.00,3690.00,1992.00,763.00,34.00,37.80,20.40,7.80,2275.00,3366.00,2700.00,944.00,24.50,36.30,29.10,10.20,,,
1029,AL,Cleburne County,8,4,8,4,4431.00,1198.00,272.00,162.00,73.10,19.80,4.50,2.70,4578.00,2031.00,385.00,431.00,61.70,27.40,5.20,5.80,4068.00,2394.00,1110.00,529.00,50.20,29.60,13.70,6.50,3536.00,3417.00,1701.00,879.00,37.10,35.80,17.80,9.20,2364.00,4135.00,2518.00,1428.00,22.60,39.60,24.10,13.70,,,
1031,AL,Coffee County,6,5,4,5,10790.00,4861.00,1332.00,1040.00,59.90,27.00,7.40,5.80,9836.00,6696.00,3378.00,2766.00,43.40,29.50,14.90,12.20,8522.00,6824.00,6354.00,4274.00,32.80,26.30,24.50,16.50,7755.00,7571.00,7985.00,5574.00,26.80,26.20,27.60,19.30,4833.00,9723.00,12181.00,8175.00,13.80,27.90,34.90,23.40,,,
1033,AL,Colbert County,3,2,3,2,15050.00,7986.00,2151.00,1554.00,56.30,29.90,8.00,5.80,14231.00,11210.00,3756.00,3034.00,44.20,34.80,11.70,9.40,11952.00,11110.00,7293.00,3956.00,34.80,32.40,21.30,11.50,9972.00,12665.00,9474.00,5273.00,26.70,33.90,25.30,14.10,6016.00,13927.00,11459.00,7236.00,15.60,36.00,29.70,18.70,,,
1035,AL,Conecuh County,9,11,7,11,5889.00,1709.00,332.00,342.00,71.20,20.70,4.00,4.10,5197.00,2569.00,714.00,556.00,57.50,28.40,7.90,6.20,4242.00,2927.00,1219.00,574.00,47.30,32.70,13.60,6.40,2984.00,3518.00,1877.00,851.00,32.30,38.10,20.30,9.20,1703.00,4315.00,1881.00,949.00,19.20,48.80,21.30,10.70,,,
1037,AL,Coosa County,8,7,8,3,3983.00,1260.00,269.00,196.00,69.80,22.10,4.70,3.40,3780.00,2100.00,529.00,237.00,56.90,31.60,8.00,3.60,3315.00,2403.00,1010.00,456.00,46.10,33.40,14.10,6.30,2831.00,3164.00,1597.00,663.00,34.30,38.30,19.30,8.00,1675.00,3178.00,2424.00,953.00,20.40,38.60,29.50,11.60,,,
1039,AL,Covington County,7,9,6,6,13470.00,4333.00,1014.00,918.00,68.30,22.00,5.10,4.70,12771.00,6401.00,2108.00,1636.00,55.70,27.90,9.20,7.10,10288.00,6962.00,4642.00,2198.00,42.70,28.90,19.30,9.10,8115.00,8473.00,5975.00,3142.00,31.60,33.00,23.20,12.20,4530.00,9368.00,8588.00,3952.00,17.10,35.40,32.50,14.90,,,
1041,AL,Crenshaw County,8,6,8,6,5595.00,1295.00,385.00,296.00,73.90,17.10,5.10,3.90,5285.00,2062.00,549.00,576.00,62.40,24.30,6.50,6.80,4286.00,2444.00,1327.00,740.00,48.70,27.80,15.10,8.40,3700.00,2689.00,1840.00,1039.00,39.90,29.00,19.90,11.20,2091.00,3753.00,2326.00,1505.00,21.60,38.80,24.00,15.60,,,
1043,AL,Cullman County,6,3,4,3,20137.00,6244.00,1405.00,1113.00,69.70,21.60,4.90,3.90,19635.00,11353.00,3122.00,2671.00,53.40,30.90,8.50,7.30,18093.00,13529.00,8882.00,3405.00,41.20,30.80,20.20,7.80,15322.00,16584.00,13719.00,6162.00,29.60,32.00,26.50,11.90,10405.00,20382.00,18559.00,7866.00,18.20,35.60,32.40,13.70,,,
1045,AL,Dale County,4,5,4,5,9412.00,7274.00,2511.00,1895.00,44.60,34.50,11.90,9.00,8736.00,8575.00,4681.00,2898.00,35.10,34.50,18.80,11.60,7536.00,8199.00,9575.00,3948.00,25.80,28.00,32.70,13.50,6976.00,9159.00,10857.00,4398.00,22.20,29.20,34.60,14.00,4732.00,10924.00,12036.00,5690.00,14.20,32.70,36.10,17.00,,,
1047,AL,Dallas County,4,5,4,5,15421.00,6357.00,2219.00,2329.00,58.60,24.10,8.40,8.80,13407.00,8590.00,3575.00,3265.00,46.50,29.80,12.40,11.30,11488.00,8010.00,5448.00,3474.00,40.40,28.20,19.20,12.20,8524.00,9646.00,6568.00,4004.00,29.70,33.60,22.90,13.90,5135.00,9368.00,8076.00,4021.00,19.30,35.20,30.40,15.10,,,
1049,AL,DeKalb County,6,6,6,6,17375.00,4853.00,861.00,884.00,72.50,20.20,3.60,3.70,18316.00,8936.00,2888.00,1808.00,57.30,28.00,9.00,5.70,16665.00,10770.00,5529.00,2520.00,47.00,30.40,15.60,7.10,15469.00,14549.00,9194.00,3528.00,36.20,34.00,21.50,8.30,12394.00,15956.00,13441.00,6085.00,25.90,33.30,28.10,12.70,,,
1051,AL,Elmore County,2,2,2,2,11066.00,4755.00,1063.00,967.00,62.00,26.60,6.00,5.40,10585.00,9169.00,2722.00,2567.00,42.30,36.60,10.90,10.30,10518.00,10188.00,6695.00,4031.00,33.50,32.40,21.30,12.80,9679.00,14576.00,11749.00,7173.00,22.40,33.80,27.20,16.60,7594.00,18304.00,16197.00,13664.00,13.60,32.80,29.00,24.50,,,
1053,AL,Escambia County,6,6,6,6,12205.00,4721.00,836.00,886.00,65.40,25.30,4.50,4.80,10842.00,7230.00,2365.00,1586.00,49.20,32.80,10.70,7.20,9037.00,7841.00,3942.00,1707.00,40.10,34.80,17.50,7.60,8030.00,8860.00,5927.00,2693.00,31.50,34.70,23.20,10.60,4792.00,11546.00,6340.00,3287.00,18.50,44.50,24.40,12.70,,,
1055,AL,Etowah County,3,2,3,2,31249.00,14834.00,3927.00,2765.00,59.20,28.10,7.40,5.20,27842.00,20344.00,8053.00,5491.00,45.10,33.00,13.00,8.90,23588.00,20194.00,15201.00,6689.00,35.90,30.70,23.10,10.20,18115.00,22531.00,19811.00,9372.00,25.90,32.30,28.40,13.40,11147.00,23665.00,24416.00,12767.00,15.50,32.90,33.90,17.70,,,
1057,AL,Fayette County,6,6,6,6,6552.00,2043.00,438.00,360.00,69.80,21.80,4.70,3.80,6340.00,3322.00,756.00,820.00,56.40,29.60,6.70,7.30,5060.00,3700.00,1917.00,995.00,43.40,31.70,16.40,8.50,4265.00,4404.00,2753.00,1157.00,33.90,35.00,21.90,9.20,2060.00,4868.00,3273.00,1516.00,17.60,41.50,27.90,12.90,,,
1059,AL,Franklin County,6,6,6,6,9158.00,3413.00,558.00,467.00,67.40,25.10,4.10,3.40,9431.00,5062.00,1651.00,1029.00,54.90,29.50,9.60,6.00,8212.00,5640.00,3171.00,1269.00,44.90,30.80,17.30,6.90,7904.00,6363.00,4572.00,2021.00,37.90,30.50,21.90,9.70,4835.00,7666.00,5632.00,2679.00,23.20,36.80,27.10,12.90,,,
1061,AL,Geneva County,3,2,3,2,8446.00,2921.00,486.00,554.00,68.10,23.50,3.90,4.50,7816.00,4500.00,1296.00,861.00,54.00,31.10,9.00,5.90,6896.00,4924.00,2597.00,1058.00,44.60,31.80,16.80,6.80,6046.00,5626.00,4390.00,1526.00,34.40,32.00,25.00,8.70,3891.00,6924.00,5720.00,2063.00,20.90,37.20,30.80,11.10,,,
1063,AL,Greene County,3,2,8,6,3879.00,753.00,328.00,342.00,73.20,14.20,6.20,6.50,3488.00,1281.00,478.00,558.00,60.10,22.10,8.20,9.60,2734.00,1727.00,838.00,618.00,46.20,29.20,14.20,10.40,2182.00,2165.00,1205.00,652.00,35.20,34.90,19.40,10.50,1406.00,2149.00,1689.00,589.00,24.10,36.80,29.00,10.10,,,
1065,AL,Hale County,3,2,3,2,5803.00,1322.00,309.00,391.00,74.20,16.90,3.90,5.00,5207.00,2007.00,646.00,564.00,61.80,23.80,7.70,6.70,4218.00,2862.00,1342.00,822.00,45.60,31.00,14.50,8.90,3683.00,3803.00,2247.00,858.00,34.80,35.90,21.20,8.10,1647.00,4292.00,2711.00,1421.00,16.40,42.60,26.90,14.10,,,
1067,AL,Henry County,3,2,3,2,5087.00,1456.00,353.00,349.00,70.20,20.10,4.90,4.80,5051.00,2379.00,804.00,779.00,56.00,26.40,8.90,8.60,4121.00,2871.00,2123.00,817.00,41.50,28.90,21.40,8.20,3654.00,3192.00,2576.00,1545.00,33.30,29.10,23.50,14.10,2412.00,4081.00,3487.00,2187.00,19.80,33.50,28.70,18.00,,,
1069,AL,Houston County,3,2,3,2,17385.00,8637.00,2189.00,2133.00,57.30,28.50,7.20,7.00,17844.00,13980.00,5521.00,5435.00,41.70,32.70,12.90,12.70,16226.00,15026.00,12206.00,7696.00,31.70,29.40,23.90,15.00,13771.00,17809.00,16274.00,10817.00,23.50,30.40,27.70,18.40,10261.00,22680.00,23681.00,15076.00,14.30,31.60,33.00,21.00,,,
1071,AL,Jackson County,6,5,6,5,15217.00,4476.00,877.00,716.00,71.50,21.00,4.10,3.40,15423.00,9042.00,3094.00,1996.00,52.20,30.60,10.50,6.80,12932.00,9876.00,5568.00,2471.00,41.90,32.00,18.10,8.00,12006.00,12707.00,7924.00,3798.00,33.00,34.90,21.70,10.40,6526.00,15181.00,10238.00,5280.00,17.50,40.80,27.50,14.20,,,
1073,AL,Jefferson County,1,1,1,1,186882.00,101656.00,32182.00,33827.00,52.70,28.70,9.10,9.50,141531.00,132921.00,63342.00,63229.00,35.30,33.10,15.80,15.80,111325.00,120393.00,109272.00,84718.00,26.20,28.30,25.70,19.90,82950.00,121233.00,123142.00,106833.00,19.10,27.90,28.40,24.60,46025.00,120037.00,137208.00,145462.00,10.30,26.80,30.60,32.40,,,
1075,AL,Lamar County,9,10,8,7,6105.00,1522.00,350.00,284.00,73.90,18.40,4.20,3.40,5583.00,2988.00,640.00,580.00,57.00,30.50,6.50,5.90,4802.00,3441.00,1321.00,631.00,47.10,33.80,13.00,6.20,3759.00,4036.00,2125.00,838.00,34.90,37.50,19.80,7.80,1741.00,3950.00,2967.00,1235.00,17.60,39.90,30.00,12.50,,,
1077,AL,Lauderdale County,3,2,3,2,20423.00,10109.00,2924.00,3016.00,56.00,27.70,8.00,8.30,19666.00,15561.00,5109.00,6044.00,42.40,33.60,11.00,13.00,16520.00,16585.00,9881.00,8450.00,32.10,32.20,19.20,16.40,13915.00,20105.00,13993.00,10881.00,23.60,34.10,23.80,18.50,7979.00,22812.00,17453.00,15185.00,12.60,36.00,27.50,23.90,,,
1079,AL,Lawrence County,3,2,3,2,9757.00,3115.00,485.00,328.00,71.30,22.80,3.50,2.40,9514.00,5396.00,1101.00,665.00,57.10,32.40,6.60,4.00,8663.00,7293.00,2331.00,1211.00,44.40,37.40,12.00,6.20,7872.00,9029.00,4270.00,1723.00,34.40,39.40,18.70,7.50,4919.00,9710.00,6028.00,2738.00,21.00,41.50,25.80,11.70,,,
